발전기명,년월일,설비용량(MW),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
안산연성정수장태양광,2017-01-01,1.49,0,0,0,0,0,0,0,0,22800,116400,295200,358800,579600,453600,304800,230400,31200,0,0,0,0,0,0,0
안산연성정수장태양광,2017-01-02,1.49,0,0,0,0,0,0,0,0,8400,160800,181200,273600,580800,478800,265200,72000,30000,0,0,0,0,0,0,0
안산연성정수장태양광,2017-01-03,1.49,0,0,0,0,0,0,0,0,34800,193200,321600,800400,883200,696000,660000,463200,147600,4800,0,0,0,0,0,0
안산연성정수장태양광,2017-01-04,1.49,0,0,0,0,0,0,0,0,32400,193200,346800,775200,937200,906000,726000,457200,136800,3600,0,0,0,0,0,0
안산연성정수장태양광,2017-01-05,1.49,0,0,0,0,0,0,0,0,24000,157200,196800,238800,307200,267600,196800,110400,63600,2400,0,0,0,0,0,0
안산연성정수장태양광,2017-01-06,1.49,0,0,0,0,0,0,0,0,32400,189600,306000,670800,825600,853200,570000,380400,106800,7200,0,0,0,0,0,0
안산연성정수장태양광,2017-01-07,1.49,0,0,0,0,0,0,0,0,58800,187200,350400,688800,819600,655200,526800,252000,98400,2400,0,0,0,0,0,0
안산연성정수장태양광,2017-01-08,1.49,0,0,0,0,0,0,0,0,31200,181200,320400,595200,289200,289200,176400,156000,68400,3600,0,0,0,0,0,0
안산연성정수장태양광,2017-01-09,1.49,0,0,0,0,0,0,0,0,28800,80400,303600,630000,661200,920400,739200,450000,157200,9600,0,0,0,0,0,0
안산연성정수장태양광,2017-01-10,1.49,0,0,0,0,0,0,0,0,27600,188400,291600,470400,668400,916800,741600,534000,178800,7200,0,0,0,0,0,0
안산연성정수장태양광,2017-01-11,1.49,0,0,0,0,0,0,0,0,34800,206400,330000,898800,822000,488400,601200,399600,175200,8400,0,0,0,0,0,0
안산연성정수장태양광,2017-01-12,1.49,0,0,0,0,0,0,0,0,4800,117600,331200,878400,962400,622800,733200,516000,200400,8400,0,0,0,0,0,0
안산연성정수장태양광,2017-01-13,1.49,0,0,0,0,0,0,0,0,40800,192000,165600,115200,944400,912000,823200,438000,189600,10800,0,0,0,0,0,0
